a	阿呵啊嗄腌吖錒锕
you	莜纋邮逌悠訧祐苃蚴丣幽猷羪怞鼬诱酭耰櫌迶肬遊栯滺魷卣呦宥瀀庮攸铀嚘游酉浟禉逰鱿釉銪又湵亴峳孧优柚友铕誘偤幼繇囿右佑黝泑憂駀鈾輏蝤優有鮋峟羑尤槱莸蝣楢貁猶油褎蜏姷沋侑牰牖怮聈梄鲉尢鄾蕕懮蚰由唀疣哊牗狖櫾郵麀怣輶忧甴莠秞犹
yu	于庾輿琙竽窳餘隃渝舆諛踰御罭軉灪铻楡懙閾迂潏玙榆域吁嵎预瑀麌籅雓堉蓣嫗峪魚宇俣鷸斞欤蘛戫菀穥邘圉袬龥喩鮽寓雤屿育慾騟欝箊硢嶼螸伛谕饇萭鬰媀俁驭钰遹譽汩狳蕍欲馭漁斔嶎稢燏霱緎覦鹬盂逳僪諭雨紆飫杅畬语語蜮籞酑艅醧矞蕷挧馀裕鱊禦焴蘌鄅亐逾鬱俞臾扵粥鴥銉娱与蓹玗龉惐崳輍鍝瘉窬璵與忬茰鷠郁鈺盓迃鬻余肀鹆腴蒮祤瘐萮圫轝薁伃陓芌獄澦予瑜礖寙蝓愚浴鴧魊聿頨唹衧喻歈稶楰雩谀髃俼鵒愈櫲敔歟喅虶預兪阈谷禺妤纡芋茟圄偊欥狱粖蜟娛砡鱼遇虞隅堬歶旟庽棫鐭彧鴪於込扜萸熨欎蔚噳誉羽隩錥嵛秗鋊淢楀鳿羭昱禹傴瘀渔鸆齵揄棜毓牏桙鸒匬儥饫湡玉鰅娯觎棛硲愉謣籲扝嬩燠礜堣篽睮骬尉淤齬煜癒爩驈穻滪悆貐淯豫礇舁菸喁澞褕
yuan	眢冤魭鸳嫄邧盶蜵援笎蝝惌剈芫駌鶰謜螈轅蚖湲圓縁葾爰垸薗蝯鋺榞溒黿垣愿圎櫞園蒬棩寃衏塬裷沅榬元渁员厵褤夗灁贠鼘員媴淵傆円杬院源涴瑗渆鼋遠鳶蒝裫鼝远願猨渊箢鴛鸢嬽囦蜎圜辕苑貟禐橼緣邍渕茒鎱褑媛园逺怨羱掾肙原妴鹓圆騵厡鵷袁猿噮缘鶢鈨
yue	戉岳岄泧軏瀹跀捳噦栎蚏篗钥抈悅矱籰钺阅鉞禴鸙粤哕閱蘥曱約恱曰籆爚约悦刖鈅月嶽玥礿乐蚎越閲嬳樾籥龠粵说躍箹鑰黦鸑妜跃
yun	橒縜蕴抣赟韗暈恽篔筼畇勻眃筠殞褞蘊妘耘賱允齳蒀囩孕夽運馧磒愠紜秐溳枟芸云员郧馻狁傊蕓涢伝鈗霣纭奫贇韫雲藴腪縕缊抎煴薀隕喗氲鋆蒕蝹韻醖愪匀惲耺熨荺鄆熅晕醞鄖殒氳澐齫酝沄韞郓蒷昀餫运韵阭熉慍陨
za	砸咋臢匝帀雜韴拶桚臜魳橴鉔沞雥雑沯囃扎囋杂襍咂
zai	縡儎扗载灾宰洅睵再烖栽仔載崽哉岾酨傤在溨災甾賳渽
zan	贊讚攅揝瓉赞讃鵤瓚攢濽篸鐕噆兂瓒趲拶撍儹襸鄼寁暫賛偺簪鏨昝趱簮橵儧喒禶錾鐟糌酇饡攒暂酂囋咱灒蹔
zang	藏匨臧牂賍塟脏弉髒欌奘銺羘蔵賘臓贜駔贓臟葬驵赃
zao	竃唣噪唕遭簉躁煰灶澡薻梍凿枣鑿栆慥喿璪蚤傮艁燥造趮棗蹧早竈藻醩皁譟皂糟
ze	沢泽咋則歵責皟謮諎瞔侧蔶嘖则齰滜賾泎蠌舴幘矠啧嫧擇赜啫鸅庂昗责溭襗仄笮汄択齚崱樍礋昃箦帻择捑迮簀
zei	鰂蠈賊鱡戝贼鲗
zen	譖谮怎
zeng	囎矰贈鋥罾繒综増缯曽憎鄫璔赠磳增锃譄熷甑曾橧鬵
zha	蜡咋箚鮺蚻札楂轧哳宱诈灹苲砟喳鮓喋譇抯炸鍘铡榨牐詐偧揸齇痄紥蚱咤拃譗皶眨闸鲝乍槎觰皻紮搾栅醡柞劄齄挓摣柤樝溠霅耫渣猹厏鲊查扎閘奓吒
zhai	粂侧檡债鉙債寨瘵斋夈责斎柴摘捚窄砦榸翟择祭齋宅
zhan	枬戰轏毡旃驏旜閚斬鱣虦魙展嶘战棧占崭驙榐惉鸇斩瞻饘覱趈沾詀搌嶦鳣飐襢绽盏颭噡飦譫讝嶃綻鹯盞佔氊橏輾站谵氈詹嫸栈譧薝霑粘戦虥桟蛅邅輚湛黵偡琖菚嶄醆蘸栴辗
zhang	痮獐暲仗蟑嶂鄣慞墇帳幛瞕扙蔁章长張鱆杖胀账脹帐丈涨掌张騿瘬粻彰礃障涱漳樟璋傽賬幥粀漲鏱遧嫜麞瘴仉餦
zhao	啁妱皽垗兆枛狣鮡肁罩赵笊棹爫找趙鼌旐詔巶朝櫂爪昭沼鍣诏鉊瑵炤照招箌駋召曌钊着嘲釗肇肈羄燳佋瞾
zhe	謫哲晣辙嚞者喆柘轍蟅蛰鮿讁晢籷蟄袩鹧厇折砓輙銸锗褚谪粍樜这這辄鍺鷓輒淛詟襵嫬磔矺浙啠螫摺謺蔗讋蜇遮着赭嗻歽褶悊踷埑虴
zhei	这
zhen	錱枕籈獉縝眞紖鎭砧軫嫃畛鱵誫姫絼貞贞縥禎幀楨鋴鍼臻揕针陣镇振帧溱眕屒挋樼纼箴紾碪駗眹祯弫薽疹瑧黰桢禛缜抮轸聄阵椹珎袗甄震賑甽偵診胗遉澵鸩搸珍潧稹侦鬒侲寊朕栚真湞诊蓁赈昣覙圳酙針辴蒖葴鎮殝鉁浈裖轃斟帪塦鴆榛
zheng	争证掙整佂蒸氶掟拯埩怔鲭聇崢糽踭挣铮鄭癥峥崝狰錚眐烝幁诤愸政姃脀鉦媜征丁炡諍證証筝篜揁鴊正靕晸症抍钲箏爭鬇鏳郑猙睜睁徰塣撜
zhi	騺徴泜樴姪骘锧稙稺儨扺茝炙雉櫛恉垁懫慹止至址傂廌躓置桎瘈祬狾縶輊汁蘵滞之掷秷鼅识黹旨膣窒伿稚潪梽瓡鳷禔秓禃跖吱懥帜枳趾祑咫洔志致質摭智聀蜘俧軄疷穉紩知騭豒彘戠膱襧擳鯯痓疻藢瀄质埴芖猘駤帙秩植劕躑執纸汥袠砋豸滍誌觶緻卮梔鑕殖制觯幟旘洷職织綕妷蹠劧痔鸷崻蟙璏值指扻铚衼畤馶栺搱瓆嬂搘偫汦椥栉擲峙坁夂寘豑抧筫栀直治倁臸氏淔疐鷙摨踯脂贽枝釞徏阯踬貭潌祗翐挃摯贄軹跱庢巵蹢絷忮剬执柣觗晊訨职肢榰娡痣漐衹礩紙製沚坧墌轾憄厔轵隲驇胝櫍隻支織墆螲乿鴲犆胑秖袟擿徵郅陟馽挚庤芝芷茋歭徝滯鴙迣覟帋鋕酯蛭只値侄淽銍祉熫
zhong	茽螤尰幒塚瘇籦衶祌汷蹱鐘鍾踵冢媑堹泈忠喠终煄種舯筗中锺肿仲偅衆歱蜙衷种銿妕盅蔠刣鈡蚛狆終炂螽钟柊腫彸妐众鼨忪重諥伀衳鴤徸眾
zhou	繇軸啁粙皺驟嚋咮伷皱賙荮酎葤盩纣籀鯞胄徟帚銂祝昼晝州辀烐舳绉冑珘婤籕僽謅咒疛噣週调霌肘鵃洲炿騆妯宙甃縐箒譸呪籒睭駎菷郮紂鸼淍舟喌輈輖诌晭粥矪骤侜诪轴周赒詋
zhu	祝躅舳属术褚助芧庶宁柚
zhua	簻爪抓髽挝膼撾檛
zhuai	拽转跩
zhuan	竱蒃篆磚灷撰篹塼赚沌僎瑑叀転专顓传襈諯瑼縳腞啭籑鱄转磗堟囀孨颛賺饌専鄟甎轉譔馔嫥蟤專砖膞
zhuang	壮莊庒庄戆樁壯粧裝妆僮状狀糚梉奘撞幢娤壵焋妝装桩湷荘
zhui	礈諈錣鑆墜隹赘醊沝笍甀畷腏縋娷坠锥椎惴綴贅鵻膇騅缒追錐硾缀骓
zhun	綧諄肫准窀衠啍迍屯谆準宒稕訰埻凖
zhuo	斲汋卓浊彴躅缴蠗篧蠿斫灼涿酌窧穛晫琢櫡斀槕桌硺诼濯炪镯擢穱罬窡棳鋜捉倬烵斮拙禚謶灂茁諑丵撯劅鐯斱娺諁鷟琸叕棁浞籱椓啄圴鵫鐲着焯妰擆濁啅斵梲籗犳
zi	胾孶稵緕纃渍榟蓻资姊錙葘姿虸紫茲栥鯔茊孖矷倳觜鰦資牸秄髭甾吱籽辎秭笫頾粢鄑嵫呰眦齍漬仔镃姉杍芓荢鶅紎谘姕兹吇字自孳菑梓恣椔耔锱啙龇訿滋胔咨澬淄貲頿缁鎡輺胏鈭剚滓眥赼禌崰湽茈趑鍿赀趦玆孜訾齜子嗭諮秶鲻釨緇輜嗞茡鼒
zong	揔鯼瘲緵緫猔宗骔繌综疭椶朡総磫鯮踪縂惣綜翪堫燪豵嵕总縱枞緃蹤傯惾捴潈稯蝬鍐鬉蓗碂昮踨纵騣棕腙鬷猣熧葼鬃倧嵸倊搃焧糭總騌縦嵏偬粽摠鑁糉
zou	奏騶走箃緅驺掫黀齺陬诹菆齱鲰棸棷邹赱諏揍鄒郰鯫鄹
zu	椊足诅哫族唨崒租崪卒苴爼蒩葅踤镞菹卆珇鏃箤俎詛阻靻组組祖
zuan	钻纉劗攥鑽篹纂赚鑚缵躜籫纘繤鉆躦
zui	檌鋷璻厜樶蕞檇纗嶊噿咀醉冣嶵絊蟕晬最酻嗺觜槜稡脧祽嘴栬辠錊酔罪
zun	撙鱒譐捘繜噂鐏罇尊嶟樽遵銌僔鳟鷷
zuo	筰做繓唑稓琢嘬作侳怍鈼坐岝穝捽佐阼糳笮座撮祚咗左昨秨胙飵岞莋葄葃袏
